audio,transcripts
LKPR_RUZYNE_Radar_120_520MHz_20201026_205056.wav,['KLM Seven Three Whiskey maintain present heading for vectoring for ILS approach runway two four and reduce your speed now below two six zero knots']
LKPR_RUZYNE_Tower_134_560MHz_20201025_101021.wav,"['Ryan Air Seven Romeo Mike route reaching and holding runway two four we are ready for departure', 'Ryan Air seven Romeo Mike line up runway two four', 'line up and wait runway two four Ryan Air Seven Romeo Mike']"
LZIB_STEFANIK_Tower_118_3MHz_20210505_145115.wav,"['Topjet Four Zero Two via delta foxtrot ten three three', 'delta foxtrot ten three three Topjet Four Zero Two']"
LKTB_BRNO_Approach-Radar_127_350MHz_20201028_135718.wav,"['Oscar Kilo Delta Sierra India turn left heading one zero zero', 'left heading one zero zero Oscar Kilo Delta Sierra India']"
LKPR_RUZYNE_Tower_134_560MHz_20201025_204809.wav,"['Ruzyne tower Trans Europe Four Two One [Ne Czech] dobrý večer [/Ne] establish localizer two four', 'Trans Europe Four Two One [Ne Czech] dobrý večer [/Ne] Ruzyne tower continue approach runway two four', 'continue approach runway two four Trans Europe Four Two One']"
LZIB_STEFANIK_Tower_118_3MHz_20210430_150028.wav,['roger position start approved position five Foxtrot and squawk four four two three for Wizzair Six Two Seven Six']
LKTB_BRNO_Tower_119_605MHz_20201028_185619.wav,['Oscar Kilo Foxtrot Alpha Oscar taxi to holding point runway two seven via alpha charlie']
LSZH_ZURICH_ApronS_121_75MHz_20210414_181316.wav,['Lot Four Two Zero contact ground one two one decimal nine zero five good bye']
LSZB_BERN_Tower_121_0MHz_20210423_130638.wav,"['long approach Hotel Papa Bravo', 'Hotel Mike November line up in sequence']"
LSZB_BERN_Tower_121_0MHz_20210413_161649.wav,['November Mike Alpha vacate via charlie and [hes] how long do you stay']
LSGS_SION_Tower_118_3MHz_20210505_105333.wav,['[#unnamed]roger[/#unnamed] [#unnamed]station[/#unnamed] [#unnamed]calling[/#unnamed] [#unnamed]please[/#unnamed] [#command]pass[/#command] [#command]your[/#command] [#command]message[/#command]']
LSZB_BERN_Tower_121_0MHz_20210414_094938.wav,"['say again Heli Lima Juliett', 'Heli Lima Juliett join mid left heli circuit three two land at own discretion swiss helicopter wind zero four zero degrees one zero knots']"
LZIB_STEFANIK_Tower_118_3MHz_20210426_132814.wav,['stefanik tower Top Jet Four Zero One [Ne Slovak] dobrý deň [/Ne] apron charlie in front of the hangar ready for startup cleared destination Ostrava [hes] lima on board QNH one zero one seven']
LSZH_ZURICH_Tower_118_1MHz_20210414_064101.wav,['Foxtrot Sierra Foxtrot Five Eight Four Papa tower hello again actually hold position shortly']
LKTB_BRNO_Approach-Radar_127_350MHz_20201027_140348.wav,['Kilo Lima Papa Victor standby for runway zero nine for now follow Tumka Four Charlie arrival due to departure from Brno']
LKPR_RUZYNE_Tower_134_560MHz_20201028_152306.wav,"['Ruzyne Tower CSA One Delta Zulu [hes] [NE Czech] dobrý podvečer [/NE] established localizer two four', '[NE] dobrý den [/NE] CSA One Delta Zulu Ruzyne Tower runway two four cleared to land wind two two zero degrees one four knots', 'are cleared to land runway two four CSA One Delta Zulu']"
LSZB_BERN_Approach_127_3MHz_20210414_160756.wav,['Hotel Bravo Juliett leave out on route whiskey wind zero three zero degrees one zero knots runway three two cleared for takeoff']
LSZH_ZURICH_Tower_118_1MHz_20210412_161248.wav,"['Swiss Two Zero Six Seven contact apron one two one decimal eight five five', 'one two one decimal eight five five Swiss Two Zero Six Seven']"
LKPR_RUZYNE_Radar_120_520MHz_20201028_095055.wav,"['Lufthansa Niner Tango Papa contact Praha Radar one two zero decimal two seven five bye bye', 'Lufthansa Nine Tango Papa two zero two seven five bye']"
LSGS_SION_Ground_Control_121_7MHz_20210503_080828.wav,['[#callsign]Hotel[/#callsign] [#callsign]Lima[/#callsign] [#callsign]Tango[/#callsign] [#unnamed]roger[/#unnamed] [#unnamed]standby[/#unnamed] i [#unnamed]coordinate[/#unnamed] [#unnamed]with[/#unnamed] [#unnamed]military[/#unnamed] [#unnamed]sector[/#unnamed]']
LSGS_SION_Ground_Control_121_7MHz_20210503_163635.wav,"['[#callsign]Nav[/#callsign] [#callsign]Checker[/#callsign] [#callsign]Five[/#callsign] [#callsign]One\xa0[/#callsign] [#callsign]One\xa0[/#callsign] [#command]reporting[/#command] [#value]one[/#value] [#value]thousand[/#value] \xa0[hes]\xa0 [#value]ten[/#value] \xa0 [#value]thousand[/#value] [#value]feet[/#value]', '[#unnamed]thank[/#unnamed] [#unnamed]you[/#unnamed] [#callsign]Nav[/#callsign] [#callsign]Checker[/#callsign] [#callsign]Five[/#callsign] [#callsign]One[/#callsign] [#callsign]One[/#callsign] you can [#command]contact[/#command] [hes] [#value]Geneva[/#value] [#value]Delta[/#value] [#value]on[/#value] [#value]frequency[/#value] [#value]one[/#value] [#value]one[/#value] [#value]nine[/#value] [#value]decimal[/#value] [#value]one[/#value] [#value]seven[/#value] [#value]five[/#value]']"
YSSY_SYDNEY_Tower_120_5MHz_20210502_062227.wav,"['tower good evening Qatari Six Tango Papa ILS three four left', 'Qatari Six Tango Papa heavy Sydney tower good day continue approach']"
LSZB_BERN_Tower_121_0MHz_20210413_114456.wav,"['Berne Tower hello again helicopter Hotel Bravo Zulu Whiskey Juliett Uttigen two thousand three hundred [noise]', 'Hotel Bravo Zulu Whiskey Juliett Berne tower hello again enter control zone via route zulu QNH one zero two seven']"
LSGS_SION_Ground_Control_121_7MHz_20210503_081644.wav,['[#unnamed]clouds[/#unnamed] [#value]four[/#value] [#value]hundred[/#value] [#value]feet[/#value] [#value]for[/#value] [#value]landing[/#value]']
LSZB_BERN_Tower_121_0MHz_20210422_140356.wav,['Hotel Bravo Zulu Sierra November Berne tower enter via route hotel whiskey QNH one zero one eight']
LSZB_BERN_Tower_121_0MHz_20210413_133435.wav,['Hotel Golf Sierra after echo one join right hand base runway three two as number one and expect left hand circuit']
YSSY_SYDNEY_Tower_120_5MHz_20210503_121431.wav,['one six right cleared to land and understood Qantas Four Ninety Eight']
LKPR_RUZYNE_Radar_120_520MHz_20201026_204323.wav,"['UPS Two Nine Five established', 'UPS Two Nine Five contact tower frequency one three four five six zero bye', 'UPS Two Nine Five good night']"
LKPR_RUZYNE_Radar_120_520MHz_20201026_145941.wav,"['Oscar Kilo Triple Hotel please confirm one more holding', 'Oscar Kilo Hotel Hotel Hotel affirm one holding and then it should be possible to follow ILS runway zero six', 'roger thank you']"
LSZB_BERN_Tower_121_0MHz_20210413_132353.wav,['Hotel Bravo Kilo Golf November Berne tower hello QNH one zero two seven enter via route zulu runway three two in use traffic Rega helicopter [hes] just [hes] abeam Gerzensee leaving direction Thun indicating four thousand five hundred feet not verified oposite']
LSZB_BERN_Tower_121_0MHz_20210425_074052.wav,['Hotel Delta Charlie [hes] advise traffic is now clear of you and frequency change approved']
LSZB_BERN_Tower_121_0MHz_20210418_114748.wav,['Hotel Golf Papa frequency change approved [NE German] bis später ciao [/NE]']
LSZB_BERN_Tower_121_0MHz_20210418_185745.wav,['Hotel Lima Sierra during night time visual departure is not possible']
LZIB_STEFANIK_Tower_118_3MHz_20210425_130418.wav,['QNH one zero [hes] one eight [hes] after keep the proceeding to victor']
LSZH_ZURICH_Tower_118_1MHz_20210414_162532.wav,['Air Nostrum Seven Eight Juliett Mike zero two zero degrees one three [XT]']
LSGS_SION_Tower_118_3MHz_20210415_130657.wav,"['via Charlie Zulu Hotel Echo', 'Heli Charlie Zulu next report zulu one local traffic helicopter on hook mission over Chalet']"
LSZB_BERN_Tower_121_0MHz_20210425_115720.wav,"['Heli Whiskey Charlie hotel echo three thousand feet', 'Heli Whiskey Charlie']"
YSSY_SYDNEY_Tower_120_5MHz_20210505_121757.wav,['one six right cleared to land Jetex Seven Four Three Four']
LSZH_ZURICH_ApronS_121_75MHz_20210414_144341.wav,['Delta Tango Tango taxi via alpha echo six hold short of runway one six']
LSGS_SION_Tower_118_3MHz_20210503_130418.wav,['[#callsign]Hotel[/#callsign] [#callsign]Golf[/#callsign] [#callsign]Bravo\xa0[/#callsign] [#command]straight[/#command] [#command]in[/#command] [#value]two[/#value] [#value]five[/#value] [#value]number[/#value] [#value]one[/#value]']
